Database: heroku_1ed5a148e6d9415
Table: black_cards
[16 entries]
+----+--------------------------------------------------------------------------------------------------------------+
| id | content                                                                                                      |
+----+--------------------------------------------------------------------------------------------------------------+
| 1  | _____ means never having to say you're sorry.                                                                |
| 2  | The pen tester found _____ in the trash while dumpster diving.                                               |
| 3  | Our CIO has a framed a picture of _____.                                                                     |
| 4  | 9 out of 10 experts agree, _____ will increase your security effectiveness.                                  |
| 5  | The man who trades _____ for security does not deserve, nor will he ever receive, either                     |
| 6  | _____ can often represent the weakest.                                                                       |
| 7  | _____ will help make everything more secure.                                                                 |
| 8  | You can work around the issue by _____.                                                                      |
| 9  | Our in house team handles _____.                                                                             |
| 10 | Who needs network credentials when you have _____?                                                           |
| 11 | I keep _____ in a case above my desk.                                                                        |
| 12 | When I'm not at work, I really enjoy _____.                                                                  |
| 13 | I wrote a syslog parser that found a user who was _____.                                                     |
| 14 | Hey, did you hear about that new malware called _____?                                                       |
| 15 | As a security admin, it probably won't come as a surprise to you that my favorite childhood hobby was _____. |
| 16 | I was considering dating a security expert, until they gave me _____.                                        |
+----+--------------------------------------------------------------------------------------------------------------+
 
Database: heroku_1ed5a148e6d9415
Table: white_cards
[133 entries]
+-----+-----------------------------------------------------------------------+
| id  | content                                                               |
+-----+-----------------------------------------------------------------------+
| 1   | Edward Snowden in a musical about Kevin Mitnick.                      |
| 2   | Poorly thought out password requirements.                             |
| 3   | Skipping the 'hard' parts of PCI compliance.                          |
| 4   | A code repository with no backups.                                    |
| 5   | Two factor auth with a cereal box decoder ring.                       |
| 6   | WikiLeaks.                                                            |
| 8   | A Last Generation Firewall.                                           |
| 9   | Leaked celebrity photos.                                              |
| 10  | Halle Berry in Swordfish.                                             |
| 11  | Polymorphic malware delivered via smoke signals.                      |
| 12  | Using an exploit you saw on CSI:Cyber.                                |
| 13  | Licking a UPS battery terminal to check if the battery is good.       |
| 14  | Hillary Clinton's email server.                                       |
| 15  | Hacking the planet.                                                   |
| 16  | Trusting but not verifying.                                           |
| 17  | Adding a firewall rule without first allowing your remote connection. |
| 18  | Winnie The Pooh's Honeypot.                                           |
| 19  | A pen test with an actual pen.                                        |
| 20  | 1337 sp34k.                                                           |
| 21  | A reality show about PCI compliance.                                  |
| 22  | A firewall support call to Bangalore.                                 |
| 23  | The vendor saying it was minor.                                       |
| 24  | Running metasploit against whitehouse.gov.                            |
| 25  | APTs created by a 9 year old.                                         |
| 26  | Thinking your live threat map is a scene from War Games.              |
| 27  | Implementing @SwiftOnSecurity tweets.                                 |
| 28  | An admin account with a default password.                             |
| 29  | Fileserver with a token ring card.                                    |
| 30  | An ID-10-T error.                                                     |
| 31  | An online bully who takes your lunch money.                           |
| 32  | A book called 'Computer Forensics For Dummies'.                       |
| 33  | A WIFI pineapple.                                                     |
| 34  | Dropping a server onto your CTO's Porsche.                            |
| 35  | An accidental factory reset.                                          |
| 36  | An old switch you're too scared to replace.                           |
| 37  | Sandra Bullock in The Net.                                            |
| 38  | All of China and most of North Korea.                                 |
| 39  | A 4 character password.                                               |
| 40  | Transferring over sneakernet.                                         |
| 41  | The man in the middle.                                                |
| 42  | A password written on a post-it under your keyboard.                  |
| 43  | An alert email from an unplugged server.                              |
| 44  | A data breach of cat memes.                                           |
| 45  | Awkward social engineering.                                           |
| 46  | Heartbleed.                                                           |
| 47  | An old version of OpenSSL.                                            |
| 48  | Running your own IRC server.                                          |
| 49  | A 300 baud acoustic coupler.                                          |
| 50  | A deny any rule.                                                      |
| 51  | ADHD reverse engineering.                                             |
| 52  | A QSA you found on craigslist.org.                                    |
